,WeekID,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart,Date,Song ID,Link,Artist
164915,4/30/88,6,"Get Outta My Dreams, Get Into My Car",Billy Ocean,3,1,12,,"Get Outta My Dreams, Get Into My Car Billy Ocean",spotify:track:2D4D3hiOf5U0W6SvJoCQph,Billy Ocean
164916,4/27/91,6,I've Been Thinking About You,Londonbeat,3,1,12,,I've Been Thinking About You Londonbeat,spotify:track:02KLiEs31kxh1krQJezlTL,Londonbeat
164917,7/7/18,6,Nice For What,Drake,3,1,12,,Nice For What Drake,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake
164918,12/26/70,6,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,4,1,12,,I Think I Love You The Partridge Family Starring Shirley Jones Featuring David Cassidy,,
164919,12/19/92,6,How Do You Talk To An Angel,The Heights,5,1,12,,How Do You Talk To An Angel The Heights,spotify:track:2QVHmiFTjFsHyxONRdbkcq,The Heights
164920,7/8/17,6,Humble.,Kendrick Lamar,5,1,12,,Humble. Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar
164921,7/2/77,6,Dreams,Fleetwood Mac,6,1,12,,Dreams Fleetwood Mac,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac
164922,7/7/07,6,Makes Me Wonder,Maroon 5,6,1,12,,Makes Me Wonder Maroon 5,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,Maroon 5
164997,2/2/85,7,Like A Virgin,Madonna,1,1,12,,Like A Virgin Madonna,spotify:track:1ZPlNanZsJSPK5h9YZZFbZ,Madonna
164998,7/9/88,7,Foolish Beat,Debbie Gibson,2,1,12,,Foolish Beat Debbie Gibson,spotify:track:0KhiesN7gLBPEQhKsBmrI1,Debbie Gibson
164999,1/4/69,7,Love Child,Diana Ross & The Supremes,3,1,12,,Love Child Diana Ross & The Supremes,spotify:track:69EILuL34ggLWQsa626bes,Diana Ross & The Supremes
165000,4/24/71,7,Just My Imagination (Running Away With Me),The Temptations,3,1,12,,Just My Imagination (Running Away With Me) The Temptations,spotify:track:39Bd345OWEhRNyfayhp9gv,The Temptations
165001,2/1/75,7,Mandy,Barry Manilow,3,1,12,,Mandy Barry Manilow,spotify:track:6iXQrhhgBisdfvS34EMTZ3,Barry Manilow
165002,7/22/89,7,Good Thing,Fine Young Cannibals,3,1,12,,Good Thing Fine Young Cannibals,spotify:track:6lRkdG1HurVS72F9GoBeWJ,Fine Young Cannibals
165003,6/2/90,7,Nothing Compares 2 U,Sinead O'Connor,3,1,12,,Nothing Compares 2 U Sinead O'Connor,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,Sinéad O'Connor
165004,4/11/98,7,Nice & Slow,Usher,3,1,12,,Nice & Slow Usher,spotify:track:5L0KDoZklMgs9GPoonneEl,Usher
165005,3/16/63,7,Hey Paula,Paul and Paula,4,1,12,,Hey Paula Paul and Paula,spotify:track:6MpCxTJNdkHIpvQRuID8zU,Paul & Paula
165006,11/26/66,7,Last Train To Clarksville,The Monkees,4,1,12,,Last Train To Clarksville The Monkees,spotify:track:3h4t9qpFktohHeUQc3hZCa,The Monkees
165007,6/27/59,7,Kansas City,Wilbert Harrison,5,1,12,,Kansas City Wilbert Harrison,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,Wilbert Harrison
165008,2/8/69,7,I Heard It Through The Grapevine,Marvin Gaye,5,1,12,,I Heard It Through The Grapevine Marvin Gaye,spotify:track:1tqT6DhmsrtQgyCKUwotiw,Marvin Gaye
165009,10/23/71,7,Go Away Little Girl,Donny Osmond,5,1,12,,Go Away Little Girl Donny Osmond,spotify:track:6SvOdNsEfi7EDB0oFtH3YG,Donny Osmond
165010,2/20/99,7,Have You Ever?,Brandy,5,1,12,,Have You Ever? Brandy,spotify:track:6tBD4yjOf9P8rWwUlXdJFm,Brandy
165011,10/1/60,7,It's Now Or Never,Elvis Presley With The Jordanaires,6,1,12,,It's Now Or Never Elvis Presley With The Jordanaires,spotify:track:1XunTmhOcj3xwh4b8P3isX,Elvis Presley
165012,4/17/71,7,Me And Bobby McGee,Janis Joplin,6,1,12,,Me And Bobby McGee Janis Joplin,spotify:track:1IqFh00G2kvvMm8pRMpehA,Janis Joplin
165013,5/4/74,7,Hooked On A Feeling,Blue Swede,6,1,12,,Hooked On A Feeling Blue Swede,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,"Blue Swede,Björn Skifs"
165083,11/24/62,8,He's A Rebel,The Crystals,3,1,12,,He's A Rebel The Crystals,spotify:track:0mG8Hety4RELeo6p808fcy,The Crystals
165084,3/12/66,8,Lightnin' Strikes,Lou Christie,3,1,12,,Lightnin' Strikes Lou Christie,spotify:track:2OQhFe5jjTnMWaaDRZxz31,Lou Christie
165085,5/28/66,8,Good Lovin',The Young Rascals,3,1,12,,Good Lovin' The Young Rascals,spotify:track:0XnhQGfqfi5CnZXcONJuI5,The Young Rascals
165086,11/23/85,8,Miami Vice Theme,Jan Hammer,3,1,12,,Miami Vice Theme Jan Hammer,spotify:track:2UoF4VlADu3IkPCR6LGkpS,Jan Hammer
165087,12/21/63,8,I'm Leaving It Up To You,Dale & Grace,4,1,12,,I'm Leaving It Up To You Dale & Grace,spotify:track:4To8mxhdtvoKpELxEHOGGU,Dale & Grace
165088,5/11/63,8,He's So Fine,The Chiffons,5,1,12,,He's So Fine The Chiffons,spotify:track:2Bs1Lw9LX8hBm70t1iGdlh,The Chiffons
165089,4/22/72,8,Heart Of Gold,Neil Young,5,1,12,,Heart Of Gold Neil Young,spotify:track:1Q1b8eVkUPGlpSArl8JAVw,Neil Young
165188,7/8/67,9,Groovin',The Young Rascals,2,1,12,,Groovin' The Young Rascals,spotify:track:3c2kMiSB86tVq1J4oULmvL,The Young Rascals
165189,4/14/73,9,Killing Me Softly With His Song,Roberta Flack,3,1,12,,Killing Me Softly With His Song Roberta Flack,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,Roberta Flack
165190,12/27/75,9,"Fly, Robin, Fly",Silver Convention,3,1,12,,"Fly, Robin, Fly Silver Convention",spotify:track:4Wr14AISsCuBGdkA6rids4,Silver Convention
165191,6/24/72,9,Oh Girl,The Chi-lites,4,1,12,,Oh Girl The Chi-lites,spotify:track:0cFlXjTxFdMGGPfLVpt3Wv,The Chi-Lites
165192,8/1/87,9,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,4,1,12,,I Wanna Dance With Somebody (Who Loves Me) Whitney Houston,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston
165193,4/22/89,9,Eternal Flame,The Bangles,4,1,12,,Eternal Flame The Bangles,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,The Bangles
165194,10/30/65,9,Hang On Sloopy,The McCoys,6,1,12,,Hang On Sloopy The McCoys,spotify:track:0i7O5MtSTXvR4BEY7stpjF,The McCoys
165195,6/22/91,9,I Don't Wanna Cry,Mariah Carey,6,1,12,,I Don't Wanna Cry Mariah Carey,spotify:track:1hFtJ5rV3aAm58ErijHdFO,Mariah Carey
165196,7/25/98,9,My All,Mariah Carey,9,1,12,,My All Mariah Carey,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,Mariah Carey
165269,3/6/65,10,Downtown,Petula Clark,4,1,12,,Downtown Petula Clark,spotify:track:0ZQ6ckgerHYM5mOUxTl99Q,Petula Clark
165270,6/8/68,10,Honey,Bobby Goldsboro,5,1,12,,Honey Bobby Goldsboro,spotify:track:2Qhvi6R73Zj3cpzRYzcAww,Bobby Goldsboro
